TIMESTAMP	HEAD He3	SENS HEAD He3	HEAD He4	SENS HEAD He4	PUMP He3	SENS PUMP He3	SWITCH He3	SENS SWITCH He3	PUMP He4	SENS PUMP He4	SWITCH He4	SENS SWITCH He4	Cernox	SENS Cernox	OUT1 [PHe3]	OUT2 [PHe4]	OUT3 [SHe3]	OUT4 [SHe4]
1731677861	117.356	1016.90000	300.000	0.90354	300.000	0.90241	72.163	1028.09000	300.000	0.90715	300.000	0.90318	119.678	52.27400	0	0	0	0
1731677862	117.683	1016.70000	300.000	0.90353	300.000	0.90240	72.173	1028.09000	300.000	0.90714	300.000	0.90317	119.673	52.27500	0	0	0	0
1731677863	117.453	1016.90000	300.000	0.90353	300.000	0.90240	72.197	1028.10000	300.000	0.90714	300.000	0.90317	119.672	52.27500	0	0	0	0
1731677864	118.123	1016.80000	300.000	0.90352	300.000	0.90239	72.379	1028.05000	300.000	0.90713	300.000	0.90316	119.686	52.27200	0	0	0	0
1731677865	116.380	1017.00000	300.000	0.90352	300.000	0.90239	72.278	1028.12000	300.000	0.90713	300.000	0.90316	119.670	52.27600	0	0	0	0
1731677866	116.804	1017.00000	300.000	0.90352	300.000	0.90238	72.216	1028.11000	300.000	0.90712	300.000	0.90315	119.682	52.27300	0	0	0	0
1731677867	117.959	1016.90000	300.000	0.90351	300.000	0.90238	72.442	1028.07000	300.000	0.90712	300.000	0.90315	119.676	52.27400	0	0	0	0
1731677868	117.214	1016.80000	300.000	0.90351	300.000	0.90237	72.164	1028.08000	300.000	0.90712	300.000	0.90314	119.697	52.26900	0	0	0	0
