TIMESTAMP	HEAD He3	SENS HEAD He3	HEAD He4	SENS HEAD He4	PUMP He3	SENS PUMP He3	SWITCH He3	SENS SWITCH He3	PUMP He4	SENS PUMP He4	SWITCH He4	SENS SWITCH He4	Cernox	SENS Cernox	OUT1 [PHe3]	OUT2 [PHe4]	OUT3 [SHe3]	OUT4 [SHe4]
1731676446	113.542	1017.400	300.000	0.909	300.000	0.908	300.000	1028.510	300.000	0.913	300.000	0.909	117.088	52.902	0	0	0	0
1731676447	114.063	1017.300	300.000	0.909	300.000	0.908	300.000	1028.540	300.000	0.913	300.000	0.909	117.087	52.902	0	0	0	0
1731676448	114.205	1017.400	300.000	0.909	300.000	0.908	300.000	1028.440	300.000	0.913	300.000	0.909	117.046	52.912	0	0	0	0
1731676449	114.771	1017.300	300.000	0.909	300.000	0.908	300.000	1028.460	300.000	0.913	300.000	0.909	117.056	52.910	0	0	0	0
1731676450	114.816	1017.400	300.000	0.909	300.000	0.908	300.000	1028.460	300.000	0.913	300.000	0.909	117.089	52.902	0	0	0	0
1731676451	114.644	1017.300	300.000	0.909	300.000	0.908	300.000	1028.390	300.000	0.913	300.000	0.909	117.118	52.895	0	0	0	0
1731676452	113.177	1017.700	300.000	0.909	300.000	0.908	300.000	1028.430	300.000	0.913	300.000	0.909	117.055	52.910	0	0	0	0
1731676453	113.862	1017.500	300.000	0.909	300.000	0.908	300.000	1028.450	300.000	0.913	300.000	0.909	117.043	52.913	0	0	0	0
1731676454	113.035	1017.600	300.000	0.909	300.000	0.908	300.000	1028.490	300.000	0.913	300.000	0.909	117.108	52.897	0	0	0	0
1731676455	112.588	1017.600	300.000	0.909	300.000	0.908	300.000	1028.420	300.000	0.913	300.000	0.909	117.101	52.899	0	0	0	0
