TIMESTAMP	HEAD He3	HEAD He4	PUMP He3	SWITCH He3	PUMP He4	SWITCH He4	Cernox	OUT1 [PHe3]	OUT2 [PHe4]	OUT3 [SHe3]	OUT4 [SHe4]
1718024075	300.000	300.000	300.000	1.307	300.000	300.000	46.036	0	0	0	0
1718024076	300.000	300.000	300.000	1.317	300.000	300.000	46.043	0	0	0	0
1718024077	300.000	300.000	300.000	1.328	300.000	300.000	46.043	0	0	0	0
1718024078	300.000	300.000	300.000	1.338	300.000	300.000	46.051	0	0	0	0
1718024079	300.000	300.000	300.000	1.347	300.000	300.000	46.054	0	0	0	0
1718024080	300.000	300.000	300.000	1.356	300.000	300.000	46.041	0	0	0	0
1718024081	300.000	300.000	300.000	1.365	300.000	300.000	46.036	0	0	0	0
1718024082	300.000	300.000	300.000	1.374	300.000	300.000	46.039	0	0	0	0
1718024083	300.000	300.000	300.000	1.383	300.000	300.000	46.023	0	0	0	0
1718024084	300.000	300.000	300.000	1.392	300.000	300.000	46.049	0	0	0	0
1718024085	300.000	300.000	300.000	1.400	300.000	300.000	46.045	0	0	0	0
1718024086	300.000	300.000	300.000	1.410	300.000	300.000	46.024	0	0	0	0
1718024087	300.000	300.000	300.000	1.419	300.000	300.000	46.044	0	0	0	0
1718024088	300.000	300.000	300.000	1.427	300.000	300.000	46.038	0	0	0	0
1718024089	300.000	300.000	300.000	1.436	300.000	300.000	46.032	0	0	0	0
1718024090	300.000	300.000	300.000	1.443	300.000	300.000	46.032	0	0	0	0
1718024091	300.000	300.000	300.000	1.452	300.000	300.000	46.039	0	0	0	0
1718024092	300.000	300.000	300.000	1.460	300.000	300.000	46.038	0	0	0	0
1718024093	300.000	300.000	300.000	1.469	300.000	300.000	46.031	0	0	0	0
1718024094	300.000	300.000	300.000	1.478	300.000	300.000	46.029	0	0	0	0
1718024095	300.000	300.000	300.000	1.485	300.000	300.000	46.036	0	0	0	0
1718024096	300.000	300.000	300.000	1.493	300.000	300.000	46.035	0	0	0	0
1718024097	300.000	300.000	300.000	1.501	300.000	300.000	46.034	0	0	0	0
1718024098	300.000	300.000	300.000	1.510	300.000	300.000	46.032	0	0	0	0
1718024099	300.000	300.000	300.000	1.520	300.000	300.000	46.040	0	0	0	0
1718024100	300.000	300.000	300.000	1.530	300.000	300.000	46.033	0	0	0	0
1718024101	300.000	300.000	300.000	1.540	300.000	300.000	46.032	0	0	0	0
1718024102	300.000	300.000	300.000	1.550	300.000	300.000	46.037	0	0	0	0
1718024103	300.000	300.000	300.000	1.572	300.000	300.000	46.033	0	0	0	0
1718024104	300.000	300.000	300.000	1.570	300.000	300.000	46.033	0	0	0	0
1718024105	300.000	300.000	300.000	1.576	300.000	300.000	46.022	0	0	0	0
1718024106	300.000	300.000	300.000	1.589	300.000	300.000	46.036	0	0	0	0
1718024107	300.000	300.000	300.000	1.609	300.000	300.000	46.035	0	0	0	0
