TIMESTAMP	HEAD He3	HEAD He4	PUMP He3	SWITCH He3	PUMP He4	SWITCH He4	Cernox	OUT1 [PHe3]	OUT2 [PHe4]	OUT3 [SHe3]	OUT4 [SHe4]
1717495715	139.046	8.529	8.307	89.054	10.290	18.122	136.764	0	0	0	0
1717495716	139.380	8.529	8.310	88.976	10.281	18.111	136.731	0	0	0	0
1717495717	139.684	8.529	8.312	89.284	10.273	18.084	136.763	0	0	0	0
1717495718	139.061	8.529	8.314	89.286	10.265	18.046	136.768	0	0	0	0
1717495719	140.077	8.529	8.316	89.294	10.257	18.000	136.751	0	0	0	0
1717495720	140.521	8.529	8.317	89.385	10.250	17.957	136.769	0	0	0	0
1717495721	141.544	8.529	8.319	89.155	10.242	17.911	136.722	0	0	0	0
1717495722	139.298	8.529	8.321	89.314	10.235	17.863	136.730	0	0	0	0
1717495723	141.248	8.529	8.322	89.375	10.228	17.814	136.743	0	0	0	0
1717495724	142.322	8.529	8.324	89.252	10.221	17.765	136.763	0	0	0	0
1717495725	141.129	8.529	8.325	89.206	10.214	17.716	136.737	0	0	0	1
1717495726	140.336	8.529	8.327	89.492	10.207	17.674	136.749	0	0	0	1
1717495727	139.373	8.529	8.328	89.335	10.200	17.655	136.748	0	0	0	1
1717495728	139.239	8.529	8.329	89.115	10.194	17.657	136.711	0	0	0	1
1717495729	140.373	8.529	8.331	89.159	10.187	17.674	136.770	0	0	0	1
1717495730	141.047	8.529	8.332	89.284	10.180	17.702	136.695	0	0	0	1
1717495731	140.017	8.529	8.333	89.191	10.173	17.738	136.735	0	0	0	1
1717495732	139.476	8.529	8.334	89.264	10.166	17.779	136.704	0	0	0	1
1717495733	141.240	8.529	8.335	89.317	10.160	17.824	136.740	0	0	0	1
1717495734	141.425	8.529	8.337	89.603	10.153	17.870	136.698	0	0	0	1
1717495735	139.632	8.529	8.338	89.260	10.146	17.918	136.720	0	0	0	1
1717495736	139.039	8.529	8.339	89.476	10.140	17.966	136.742	0	0	0	1
1717495737	140.529	8.529	8.340	89.417	10.133	18.017	136.712	0	0	0	1
1717495738	138.987	8.529	8.341	89.125	10.126	18.073	136.708	0	0	0	1
1717495739	139.965	8.529	8.342	89.137	10.120	18.128	136.734	0	0	0	1
1717495740	138.972	8.529	8.343	89.335	10.113	18.183	136.741	0	0	0	1
1717495741	141.203	8.529	8.344	89.157	10.107	18.237	136.715	0	0	0	1
1717495742	138.735	8.529	8.345	89.304	10.100	18.291	136.705	0	0	0	1
1717495743	140.625	8.529	8.345	89.611	10.093	18.343	136.693	0	0	0	1
1717495744	142.129	8.529	8.346	89.149	10.087	18.395	136.750	0	0	0	1
1717495745	141.351	8.529	8.347	89.276	10.080	18.446	136.708	0	0	0	1
1717495746	140.647	8.529	8.348	89.423	10.074	18.496	136.746	0	0	0	1
1717495747	140.951	8.529	8.349	89.655	10.067	18.545	136.763	0	0	0	1
1717495748	142.018	8.529	8.349	89.264	10.061	18.594	136.714	0	0	0	1
1717495749	139.906	8.529	8.350	89.401	10.054	18.642	136.729	0	0	0	1
1717495750	140.870	8.529	8.351	89.460	10.048	18.689	136.735	0	0	0	1
1717495751	141.210	8.529	8.351	89.200	10.041	18.735	136.732	0	0	0	1
1717495752	140.343	8.529	8.352	89.308	10.035	18.781	136.731	0	0	0	1
1717495753	139.758	8.529	8.353	89.520	10.029	18.827	136.729	0	0	0	1
1717495754	140.203	8.529	8.353	89.151	10.023	18.872	136.684	0	0	0	1
1717495755	139.854	8.529	8.354	89.103	10.016	18.916	136.722	0	0	0	1
1717495756	139.469	8.529	8.354	89.349	10.010	18.959	136.695	0	0	0	1
