TIMESTAMP	HEAD He3	HEAD He4	PUMP He3	SWITCH He3	PUMP He4	SWITCH He4
1709634156	25.97	18.25	4.44	4.43	4.57	4.41
1709634157	25.97	18.26	4.44	4.43	4.57	4.41
1709634158	25.92	18.27	4.44	4.43	4.57	4.41
1709634159	25.91	18.25	4.44	4.43	4.57	4.41
1709634160	25.98	18.26	4.44	4.43	4.57	4.41
1709634161	26.01	18.26	4.44	4.43	4.57	4.41
1709634162	26.01	18.26	4.44	4.43	4.57	4.41
1709634163	25.92	18.26	4.44	4.43	4.57	4.41
1709634164	25.89	18.25	4.44	4.43	4.57	4.41
1709634165	25.93	18.25	4.44	4.43	4.57	4.41
1709634166	25.90	18.25	4.44	4.43	4.57	4.41
1709634167	25.80	18.24	4.44	4.43	4.57	4.41
1709634168	25.92	18.25	4.44	4.43	4.57	4.41
1709634169	25.91	18.25	4.44	4.43	4.57	4.41
1709634170	25.97	18.25	4.44	4.43	4.57	4.41
1709634171	26.06	18.26	4.44	4.43	4.57	4.41
1709634172	25.96	18.27	4.44	4.43	4.57	4.41
1709634173	25.88	18.25	4.44	4.43	4.57	4.41
1709634174	25.91	18.26	4.44	4.43	4.57	4.41
1709634175	25.88	18.26	4.44	4.43	4.57	4.41
1709634176	25.90	18.25	4.44	4.43	4.57	4.41
1709634177	25.93	18.24	4.44	4.43	4.57	4.41
1709634178	26.02	18.25	4.44	4.43	4.57	4.41
1709634179	25.92	18.26	4.44	4.43	4.57	4.41
1709634180	25.89	18.25	4.44	4.43	4.57	4.41
1709634181	25.93	18.25	4.44	4.43	4.57	4.41
1709634182	25.97	18.25	4.44	4.43	4.57	4.41
1709634183	25.92	18.25	4.44	4.43	4.57	4.41
1709634184	25.89	18.27	4.44	4.43	4.57	4.41
1709634185	25.93	18.27	4.44	4.43	4.57	4.41
1709634186	25.94	18.26	4.44	4.43	4.57	4.41
1709634187	25.96	18.25	4.44	4.43	4.57	4.41
1709634188	25.94	18.26	4.44	4.43	4.57	4.41
1709634189	25.94	18.26	4.44	4.43	4.57	4.41
1709634190	25.95	18.26	4.44	4.43	4.57	4.41
1709634191	25.85	18.26	4.44	4.43	4.57	4.41
1709634192	25.91	18.26	4.44	4.43	4.57	4.41
1709634193	25.93	18.25	4.44	4.43	4.57	4.41
1709634194	25.96	18.24	4.44	4.43	4.57	4.41
1709634195	25.95	18.25	4.44	4.43	4.57	4.41
1709634196	25.96	18.27	4.44	4.43	4.57	4.41
1709634197	25.93	18.26	4.44	4.43	4.57	4.41
1709634198	25.89	18.25	4.44	4.43	4.57	4.41
1709634199	25.94	18.25	4.44	4.43	4.57	4.41
1709634200	25.91	18.25	4.44	4.43	4.57	4.41
1709634201	25.87	18.26	4.44	4.43	4.57	4.41
1709634202	25.90	18.25	4.44	4.43	4.57	4.41
1709634203	25.88	18.24	4.44	4.43	4.57	4.41
1709634204	25.90	18.25	4.44	4.43	4.57	4.41
1709634205	25.87	18.25	4.44	4.43	4.57	4.41
1709634206	25.89	18.25	4.44	4.43	4.57	4.41
1709634207	25.85	18.23	4.44	4.43	4.57	4.41
1709634208	25.77	18.25	4.44	4.43	4.57	4.41
1709634209	25.92	18.25	4.44	4.43	4.57	4.41
1709634210	25.94	18.25	4.44	4.43	4.57	4.41
1709634211	25.85	18.24	4.44	4.43	4.57	4.41
1709634212	25.87	18.24	4.44	4.43	4.57	4.41
1709634213	25.91	18.25	4.44	4.43	4.57	4.41
1709634214	25.95	18.26	4.44	4.43	4.57	4.41
1709634215	25.94	18.25	4.44	4.43	4.57	4.41
1709634216	25.88	18.25	4.44	4.43	4.57	4.41
1709634217	25.88	18.25	4.44	4.43	4.57	4.41
1709634218	25.95	18.26	4.44	4.43	4.57	4.41
1709634219	25.97	18.25	4.44	4.43	4.57	4.41
1709634220	25.91	18.24	4.44	4.43	4.57	4.41
1709634221	25.86	18.23	4.44	4.43	4.57	4.41
1709634222	25.88	18.25	4.44	4.43	4.57	4.41
1709634223	25.93	18.25	4.44	4.43	4.57	4.41
1709634224	26.00	18.24	4.44	4.43	4.57	4.41
1709634225	25.98	18.23	4.44	4.43	4.57	4.41
1709634226	26.06	18.24	4.44	4.43	4.57	4.41
1709634227	25.92	18.24	4.44	4.43	4.57	4.41
1709634228	25.86	18.24	4.44	4.43	4.57	4.41
1709634229	25.91	18.24	4.44	4.43	4.57	4.41
1709634230	25.88	18.24	4.44	4.43	4.57	4.41
1709634231	25.87	18.24	4.44	4.43	4.57	4.41
1709634232	26.07	18.24	4.44	4.43	4.57	4.41
1709634233	26.00	18.24	4.44	4.43	4.57	4.41
1709634234	26.00	18.24	4.44	4.43	4.57	4.41
1709634235	25.98	18.24	4.44	4.43	4.57	4.41
1709634236	25.95	18.24	4.44	4.43	4.57	4.41
1709634237	25.93	18.24	4.44	4.43	4.57	4.41
1709634238	25.95	18.24	4.44	4.43	4.57	4.41
1709634239	26.04	18.25	4.44	4.43	4.57	4.41
1709634240	25.89	18.25	4.44	4.43	4.57	4.41
1709634241	25.89	18.24	4.44	4.43	4.57	4.41
1709634242	25.86	18.25	4.44	4.43	4.57	4.41
1709634243	25.87	18.24	4.44	4.43	4.57	4.41
1709634244	25.91	18.24	4.44	4.43	4.57	4.41
1709634245	25.87	18.24	4.44	4.43	4.57	4.41
1709634246	25.93	18.26	4.44	4.43	4.57	4.41
1709634247	26.00	18.25	4.44	4.43	4.57	4.41
1709634248	25.96	18.24	4.44	4.43	4.57	4.41
1709634249	25.93	18.24	4.44	4.43	4.57	4.41
1709634250	25.86	18.24	4.44	4.43	4.57	4.41
1709634251	25.86	18.24	4.44	4.43	4.57	4.41
1709634252	25.91	18.25	4.44	4.43	4.57	4.41
1709634253	25.97	18.24	4.44	4.43	4.57	4.41
1709634254	25.98	18.23	4.44	4.43	4.57	4.41
1709634255	26.00	18.25	4.44	4.43	4.57	4.41
1709634256	26.03	18.25	4.44	4.43	4.57	4.41
1709634257	25.95	18.24	4.44	4.43	4.57	4.41
1709634258	25.80	18.23	4.44	4.43	4.57	4.41
1709634259	25.81	18.25	4.44	4.43	4.57	4.41
1709634260	25.97	18.24	4.44	4.43	4.57	4.41
1709634261	25.86	18.23	4.44	4.43	4.57	4.41
1709634262	25.96	18.24	4.44	4.43	4.57	4.41
1709634263	25.95	18.24	4.44	4.43	4.57	4.41
1709634264	25.87	18.24	4.44	4.43	4.57	4.41
1709634265	25.88	18.24	4.44	4.43	4.57	4.41
1709634266	26.11	18.24	4.44	4.43	4.57	4.41
1709634267	25.94	18.24	4.44	4.43	4.57	4.41
1709634268	25.98	18.24	4.44	4.43	4.57	4.41
1709634269	25.89	18.25	4.44	4.43	4.57	4.41
1709634270	25.92	18.25	4.44	4.43	4.57	4.41
1709634271	25.93	18.25	4.44	4.43	4.57	4.41
1709634272	25.80	18.25	4.44	4.43	4.57	4.41
1709634273	25.91	18.25	4.44	4.43	4.57	4.41
1709634274	25.97	18.22	4.44	4.43	4.57	4.41
1709634275	25.89	18.24	4.44	4.43	4.57	4.41
1709634276	25.90	18.23	4.44	4.43	4.57	4.41
1709634277	25.86	18.23	4.44	4.43	4.57	4.41
1709634278	25.94	18.24	4.44	4.43	4.57	4.41
1709634279	25.93	18.24	4.44	4.43	4.57	4.41
1709634280	25.91	18.23	4.44	4.43	4.57	4.41
1709634281	25.99	18.21	4.44	4.43	4.57	4.41
1709634282	25.87	18.22	4.44	4.43	4.57	4.41
1709634283	25.87	18.23	4.44	4.43	4.57	4.41
1709634284	25.96	18.23	4.44	4.43	4.57	4.41
1709634285	25.99	18.24	4.44	4.43	4.57	4.41
1709634286	26.06	18.24	4.44	4.43	4.57	4.41
1709634287	25.96	18.23	4.44	4.43	4.57	4.41
1709634288	25.88	18.24	4.44	4.43	4.57	4.41
1709634289	25.95	18.25	4.44	4.43	4.57	4.41
1709634290	25.86	18.25	4.44	4.43	4.57	4.41
1709634291	25.94	18.22	4.44	4.43	4.57	4.41
1709634292	25.89	18.25	4.44	4.43	4.57	4.41
1709634293	25.95	18.24	4.44	4.43	4.57	4.41
1709634294	25.99	18.25	4.44	4.43	4.57	4.41
1709634295	25.89	18.25	4.44	4.43	4.57	4.41
1709634296	25.99	18.23	4.44	4.43	4.57	4.41
1709634297	25.91	18.24	4.44	4.43	4.57	4.41
1709634298	25.87	18.23	4.44	4.43	4.57	4.41
1709634299	26.00	18.24	4.44	4.43	4.57	4.41
1709634300	25.96	18.23	4.44	4.43	4.57	4.41
1709634301	25.89	18.24	4.44	4.43	4.57	4.41
1709634302	25.89	18.23	4.44	4.43	4.57	4.41
1709634303	25.89	18.23	4.44	4.43	4.57	4.41
1709634304	26.00	18.23	4.44	4.43	4.57	4.41
1709634305	25.92	18.22	4.44	4.43	4.57	4.41
1709634306	25.97	18.23	4.44	4.43	4.57	4.41
1709634307	25.95	18.23	4.44	4.43	4.57	4.41
1709634308	25.93	18.23	4.44	4.43	4.57	4.41
1709634309	25.85	18.24	4.44	4.43	4.57	4.41
1709634310	25.87	18.23	4.44	4.43	4.57	4.41
1709634311	25.85	18.22	4.44	4.43	4.57	4.41
1709634312	25.90	18.23	4.44	4.43	4.57	4.41
1709634313	25.84	18.23	4.44	4.43	4.57	4.41
1709634314	25.83	18.23	4.44	4.43	4.57	4.41
1709634315	25.93	18.23	4.44	4.43	4.57	4.41
1709634316	25.90	18.22	4.44	4.43	4.57	4.41
1709634317	25.94	18.23	4.44	4.43	4.57	4.41
1709634318	25.87	18.22	4.44	4.43	4.57	4.41
1709634319	25.90	18.23	4.44	4.43	4.57	4.41
1709634320	25.93	18.23	4.44	4.43	4.57	4.41
1709634321	25.82	18.21	4.44	4.43	4.57	4.41
1709634322	25.90	18.23	4.44	4.43	4.57	4.41
1709634323	25.95	18.23	4.44	4.43	4.57	4.41
1709634324	25.89	18.23	4.44	4.43	4.57	4.41
1709634325	25.88	18.23	4.44	4.43	4.57	4.41
1709634326	25.90	18.23	4.44	4.43	4.57	4.41
1709634327	25.92	18.22	4.44	4.43	4.57	4.41
1709634328	25.89	18.23	4.44	4.43	4.57	4.41
1709634329	25.88	18.22	4.44	4.43	4.57	4.41
1709634330	25.93	18.23	4.44	4.43	4.57	4.41
1709634331	25.96	18.22	4.44	4.43	4.57	4.41
1709634332	25.95	18.23	4.44	4.43	4.57	4.41
1709634333	26.01	18.23	4.44	4.43	4.57	4.41
1709634334	25.97	18.23	4.44	4.43	4.57	4.41
1709634335	25.95	18.21	4.44	4.43	4.57	4.41
1709634336	25.92	18.23	4.44	4.43	4.57	4.41
1709634337	25.93	18.22	4.44	4.43	4.57	4.41
1709634338	25.89	18.23	4.44	4.43	4.57	4.41
1709634339	25.85	18.22	4.44	4.43	4.57	4.41
1709634340	25.85	18.23	4.44	4.43	4.57	4.41
1709634341	25.86	18.23	4.44	4.43	4.57	4.41
1709634342	25.88	18.22	4.44	4.43	4.57	4.41
1709634343	25.88	18.23	4.44	4.43	4.57	4.41
1709634344	25.89	18.23	4.44	4.43	4.57	4.41
1709634345	25.84	18.23	4.44	4.43	4.57	4.41
1709634346	25.89	18.22	4.44	4.43	4.57	4.41
1709634347	25.91	18.23	4.44	4.43	4.57	4.41
1709634348	25.88	18.22	4.44	4.43	4.57	4.41
1709634349	25.76	18.22	4.44	4.43	4.57	4.41
1709634350	25.96	18.23	4.44	4.43	4.57	4.41
1709634351	25.78	18.22	4.44	4.43	4.57	4.41
1709634352	25.85	18.22	4.44	4.43	4.57	4.41
1709634353	25.97	18.24	4.44	4.43	4.57	4.41
1709634354	25.88	18.22	4.44	4.43	4.57	4.41
1709634355	25.88	18.22	4.44	4.43	4.57	4.41
1709634356	25.89	18.22	4.44	4.43	4.57	4.41
1709634357	25.94	18.22	4.44	4.43	4.57	4.41
1709634358	25.93	18.22	4.44	4.43	4.57	4.41
1709634359	25.86	18.22	4.44	4.43	4.57	4.41
1709634360	25.96	18.23	4.44	4.43	4.57	4.41
1709634361	25.97	18.22	4.44	4.43	4.57	4.41
1709634362	25.91	18.22	4.44	4.43	4.57	4.41
1709634363	25.94	18.24	4.44	4.43	4.57	4.41
1709634364	25.86	18.22	4.44	4.43	4.57	4.41
1709634365	25.86	18.21	4.44	4.43	4.57	4.41
1709634366	25.92	18.22	4.44	4.43	4.57	4.41
1709634367	25.81	18.22	4.44	4.43	4.57	4.41
1709634368	25.92	18.22	4.44	4.43	4.57	4.41
1709634369	25.94	18.21	4.44	4.43	4.57	4.41
1709634370	25.89	18.22	4.44	4.43	4.57	4.41
1709634371	25.93	18.22	4.44	4.43	4.57	4.41
1709634372	25.93	18.23	4.44	4.43	4.57	4.41
1709634373	25.89	18.22	4.44	4.43	4.57	4.41
1709634374	25.88	18.22	4.44	4.43	4.57	4.41
1709634375	25.90	18.22	4.44	4.43	4.57	4.41
1709634376	25.83	18.23	4.44	4.43	4.57	4.41
1709634377	25.89	18.23	4.44	4.43	4.57	4.41
1709634378	25.85	18.23	4.44	4.43	4.57	4.41
1709634379	25.84	18.22	4.44	4.43	4.57	4.41
1709634380	25.87	18.23	4.44	4.43	4.57	4.41
1709634381	25.86	18.22	4.44	4.43	4.57	4.41
1709634382	25.87	18.21	4.44	4.43	4.57	4.41
1709634383	25.92	18.22	4.44	4.43	4.57	4.41
1709634384	25.99	18.22	4.44	4.43	4.57	4.41
1709634385	25.80	18.22	4.44	4.43	4.57	4.41
1709634386	25.91	18.22	4.44	4.43	4.57	4.41
1709634387	25.84	18.22	4.44	4.43	4.57	4.41
1709634388	25.95	18.22	4.44	4.43	4.57	4.41
