TIMESTAMP	HEAD He3	HEAD He4	PUMP He3	SWITCH He3	PUMP He4	SWITCH He4	OUT1 [PHe3]	OUT2 [PHe4]	OUT3 [SHe3]	OUT4 [SHe4]
1709865301	4.72	4.45	35.36	6.09	35.67	5.94	0	0	0	0
1709865302	4.72	4.45	35.36	6.10	35.67	5.95	0	0	0	0
1709865303	4.72	4.45	35.36	6.10	35.67	5.96	0	0	0	0
1709865304	4.72	4.45	35.35	6.11	35.67	5.96	0	0	0	0
1709865305	4.72	4.45	35.35	6.12	35.67	5.97	0	0	0	0
1709865306	4.72	4.45	35.35	6.13	35.67	5.98	0	0	0	0
1709865307	4.72	4.45	35.34	6.13	35.67	5.99	0	0	0	0
1709865308	4.72	4.45	35.34	6.14	35.67	5.99	0	0	0	0
1709865309	4.72	4.45	35.34	6.15	35.67	6.00	0	0	0	0
1709865310	4.73	4.45	35.33	6.16	35.67	6.01	0	0	0	0
1709865311	4.72	4.45	35.33	6.16	35.67	6.01	0	0	0	0
1709865312	4.72	4.45	35.33	6.17	35.67	6.02	0	0	0	0
1709865313	4.72	4.45	35.33	6.18	35.67	6.03	0	0	0	0
1709865314	4.72	4.45	35.32	6.19	35.67	6.03	0	0	0	0
1709865315	4.72	4.45	35.32	6.19	35.67	6.04	0	0	0	0
1709865316	4.72	4.45	35.31	6.20	35.67	6.05	0	0	0	0
1709865317	4.72	4.45	35.31	6.20	35.67	6.05	0	0	0	0
1709865318	4.72	4.45	35.31	6.21	35.67	6.06	0	0	0	0
1709865319	4.72	4.45	35.31	6.22	35.67	6.07	0	0	0	0
1709865320	4.72	4.45	35.30	6.23	35.67	6.07	0	0	0	0
1709865321	4.72	4.45	35.30	6.23	35.67	6.08	0	0	0	0
1709865322	4.72	4.45	35.30	6.24	35.67	6.09	0	0	0	0
1709865323	4.72	4.45	35.30	6.25	35.67	6.09	0	0	0	0
1709865324	4.72	4.45	35.29	6.25	35.67	6.10	0	0	0	0
1709865325	4.72	4.45	35.29	6.26	35.67	6.11	0	0	0	0
