TIMESTAMP	HEAD He3	HEAD He4	PUMP He3	SWITCH He3	PUMP He4	SWITCH He4	Cernox	OUT1 [PHe3]	OUT2 [PHe4]	OUT3 [SHe3]	OUT4 [SHe4]
1718024411	46.936	52.512	10.334	35.234	26.610	9.540	45.412	0	0	0	0
1718024412	46.891	52.508	10.345	35.210	26.614	9.553	45.422	0	0	0	0
1718024413	46.718	52.505	10.355	35.132	26.600	9.566	45.408	0	0	0	0
1718024414	46.828	52.502	10.364	35.068	26.568	9.577	45.408	0	0	0	0
1718024415	47.009	52.498	10.374	35.092	26.520	9.589	45.407	0	0	0	0
1718024416	46.811	52.494	10.383	34.999	26.459	9.600	45.396	0	0	0	0
1718024417	46.742	52.491	10.392	34.976	26.387	9.611	45.392	0	0	0	0
1718024418	46.956	52.486	10.400	34.965	26.307	9.622	45.392	0	0	0	0
1718024419	47.056	52.483	10.409	34.935	26.220	9.632	45.383	0	0	0	0
1718024420	46.637	52.479	10.417	34.853	26.130	9.642	45.383	0	0	0	0
1718024421	46.675	52.474	10.426	34.836	26.038	9.653	45.374	0	0	0	0
1718024422	46.662	52.470	10.434	34.775	25.952	9.663	45.375	0	0	0	0
1718024423	46.793	52.466	10.442	34.727	25.871	9.673	45.376	0	1	0	0
1718024424	46.843	52.462	10.451	34.724	25.792	9.683	45.360	0	1	0	0
1718024425	46.953	52.456	10.459	34.694	25.715	9.692	45.370	0	1	0	0
1718024426	47.133	52.452	10.467	34.587	25.645	9.702	45.360	0	1	0	0
1718024427	46.939	52.447	10.476	34.580	25.587	9.712	45.358	0	1	0	0
1718024428	46.884	52.442	10.484	34.551	25.546	9.722	45.347	0	1	0	0
1718024429	46.796	52.436	10.492	34.472	25.524	9.731	45.346	0	1	0	0
1718024430	46.811	52.431	10.500	34.402	25.521	9.741	45.343	0	1	0	0
1718024431	46.884	52.425	10.509	34.436	25.536	9.750	45.335	0	1	0	0
1718024432	46.902	52.419	10.518	34.370	25.567	9.760	45.333	0	1	0	0
1718024433	46.952	52.413	10.527	34.343	25.611	9.769	45.338	0	1	0	0
1718024434	46.759	52.406	10.536	34.291	25.665	9.779	45.334	0	1	0	0
1718024435	46.821	52.399	10.545	34.220	25.725	9.789	45.321	0	1	0	0
1718024436	46.777	52.392	10.555	34.161	25.791	9.798	45.322	0	1	0	0
1718024437	46.742	52.386	10.564	34.164	25.859	9.807	45.308	0	1	0	0
1718024438	46.984	52.379	10.573	34.129	25.929	9.817	45.310	0	1	0	0
1718024439	47.060	52.371	10.582	34.040	25.999	9.826	45.304	0	1	0	0
1718024440	46.901	52.364	10.592	34.012	26.079	9.836	45.303	0	1	0	0
1718024441	47.041	52.356	10.601	33.997	26.158	9.845	45.301	0	1	0	0
1718024442	46.843	52.349	10.611	33.937	26.235	9.854	45.288	0	1	0	0
1718024443	46.756	52.340	10.620	33.893	26.309	9.863	45.298	0	1	0	0
1718024444	46.658	52.332	10.630	33.842	26.381	9.872	45.284	0	1	0	0
1718024445	46.918	52.324	10.640	33.797	26.451	9.881	45.281	0	1	0	0
1718024446	46.955	52.315	10.649	33.730	26.518	9.890	45.277	0	1	0	0
1718024447	46.880	52.306	10.659	33.644	26.583	9.899	45.278	0	1	0	0
1718024448	46.868	52.297	10.669	33.659	26.645	9.908	45.267	0	1	0	0
1718024449	46.938	52.288	10.680	33.609	26.706	9.917	45.258	0	1	0	0
1718024450	46.748	52.279	10.690	33.559	26.764	9.926	45.266	0	1	0	0
1718024451	47.117	52.270	10.700	33.516	26.821	9.935	45.259	0	1	0	0
1718024452	46.939	52.260	10.710	33.439	26.875	9.944	45.256	0	1	0	0
1718024453	46.840	52.251	10.720	33.362	26.928	9.953	45.250	0	1	0	0
1718024454	46.635	52.241	10.730	33.334	26.980	9.962	45.252	0	1	0	0
1718024455	46.916	52.231	10.741	33.334	27.032	9.970	45.248	0	1	0	0
1718024456	47.056	52.221	10.751	33.266	27.084	9.979	45.237	0	1	0	0
1718024457	46.936	52.210	10.762	33.222	27.136	9.988	45.227	0	1	0	0
1718024458	46.729	52.199	10.772	33.179	27.186	9.996	45.225	0	1	0	0
