TIMESTAMP	HEAD He3	HEAD He4	PUMP He3	SWITCH He3	PUMP He4	SWITCH He4	Cernox	OUT1 [PHe3]	OUT2 [PHe4]	OUT3 [SHe3]	OUT4 [SHe4]
1717497850	126.322	39.226	23.756	28.646	43.569	24.326	128.718	0	1	0	0
1717497851	127.531	39.280	23.750	28.611	43.562	24.320	128.697	0	1	0	0
1717497852	127.405	39.328	23.745	28.619	43.550	24.314	128.720	0	1	0	0
1717497853	127.419	39.368	23.740	28.614	43.535	24.308	128.689	5	1	0	0
1717497854	130.358	39.400	23.735	28.601	43.518	24.303	128.663	5	1	0	0
1717497855	130.933	39.424	23.730	28.568	43.498	24.298	128.685	5	1	0	0
1717497856	127.923	39.439	23.725	28.537	43.479	24.293	128.704	5	1	0	0
1717497857	127.638	39.447	23.720	28.533	43.460	24.288	128.694	5	1	0	0
1717497858	127.368	39.448	23.715	28.500	43.443	24.283	128.679	5	1	0	0
1717497859	127.727	39.446	23.711	28.523	43.427	24.277	128.689	5	1	0	0
1717497860	127.983	39.441	23.706	28.505	43.413	24.273	128.661	5	1	0	0
1717497861	127.857	39.437	23.701	28.502	43.401	24.268	128.643	5	1	0	0
1717497862	128.920	39.433	23.697	28.460	43.391	24.263	128.667	5	1	0	0
1717497863	127.634	39.432	23.692	28.447	43.383	24.258	128.643	5	1	0	0
1717497864	128.172	39.434	23.688	28.467	43.376	24.253	128.627	5	1	0	0
1717497865	128.787	39.438	23.683	28.430	43.370	24.248	128.612	5	1	0	0
1717497866	128.079	39.447	23.678	28.446	43.366	24.243	128.648	5	1	0	0
1717497867	128.427	39.459	23.674	28.454	43.362	24.238	128.630	5	1	0	0
1717497868	129.565	39.474	23.669	28.429	43.360	24.233	128.626	5	1	0	0
1717497869	127.679	39.493	23.665	28.405	43.358	24.228	128.624	5	1	0	0
1717497870	127.582	39.514	23.660	28.381	43.357	24.223	128.612	5	1	0	0
1717497871	129.046	39.537	23.656	28.388	43.356	24.218	128.609	5	1	0	0
1717497872	128.131	39.564	23.652	28.369	43.355	24.214	128.598	5	1	0	0
1717497873	128.490	39.592	23.647	28.356	43.355	24.209	128.621	5	1	0	0
1717497874	127.886	39.623	23.643	28.354	43.354	24.204	128.577	5	1	0	0
1717497875	126.411	39.655	23.638	28.338	43.354	24.199	128.610	5	1	0	0
1717497876	126.830	39.688	23.634	28.326	43.354	24.194	128.574	5	1	0	0
1717497877	127.575	39.723	23.630	28.309	43.354	24.189	128.563	5	1	0	0
1717497878	127.516	39.759	23.625	28.294	43.354	24.185	128.607	5	1	0	0
1717497879	127.716	39.796	23.621	28.310	43.355	24.180	128.628	5	1	0	0
1717497880	127.731	39.834	23.617	28.296	43.355	24.175	128.558	5	1	0	0
1717497881	126.649	39.871	23.613	28.295	43.355	24.170	128.565	5	1	0	0
