TIMESTAMP	HEAD He3	HEAD He4	PUMP He3	SWITCH He3	PUMP He4	SWITCH He4	OUT1 [PHe3]	OUT2 [PHe4]	OUT3 [SHe3]	OUT4 [SHe4]
1709788998	12.31	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709788999	12.32	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709789000	12.30	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709789001	12.33	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709789002	12.30	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709789003	12.32	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709789004	12.33	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709789005	12.31	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709789006	12.30	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709789007	12.31	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709789008	12.32	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709789009	12.31	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709789010	12.33	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709789011	12.32	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709789012	12.31	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709789013	12.30	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709789014	12.34	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709789015	12.32	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709789016	12.29	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709789017	12.31	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709789018	12.33	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709789019	12.31	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709789020	12.31	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709789021	12.30	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709789022	12.29	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709789023	12.33	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709789024	12.33	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709789025	12.32	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709789026	12.31	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709789027	12.32	3.94	4.57	4.49	22.80	4.49	0	0	0	0
1709789028	12.32	3.94	4.57	4.49	22.80	4.49	5	0	0	0
1709789029	12.10	3.94	4.57	4.49	22.80	4.49	5	0	0	0
1709789030	12.28	3.94	4.70	4.49	22.80	4.49	5	0	0	0
1709789031	12.33	3.94	5.25	4.49	22.80	4.49	5	0	0	0
1709789032	12.31	3.94	6.62	4.49	22.80	4.49	5	0	0	0
1709789033	12.31	3.94	7.64	4.49	22.80	4.49	5	0	0	0
1709789034	12.34	3.94	9.18	4.49	22.80	4.49	5	0	0	0
1709789035	12.33	3.94	10.20	4.49	22.80	4.49	5	0	0	0
1709789036	12.56	3.94	11.65	4.49	22.80	4.49	0	0	0	0
1709789037	12.58	3.94	12.52	4.49	22.80	4.49	0	0	0	0
1709789038	12.67	3.94	13.63	4.49	22.80	4.49	0	0	0	0
1709789039	12.78	3.94	14.22	4.49	22.80	4.49	0	0	0	0
1709789040	12.86	3.94	14.91	4.49	22.80	4.49	0	0	0	0
1709789041	12.91	3.94	15.27	4.49	22.80	4.50	1	0	0	0
1709789042	12.94	3.94	15.63	4.49	22.80	4.50	1	0	0	0
1709789043	12.96	3.94	15.80	4.49	22.80	4.50	1	0	0	0
1709789044	12.98	3.94	15.96	4.49	22.80	4.50	1	0	0	0
1709789045	12.97	3.94	16.03	4.49	22.80	4.50	1	0	0	0
1709789046	12.98	3.94	16.10	4.49	22.80	4.50	1	0	0	0
1709789047	13.00	3.94	16.12	4.50	22.80	4.50	1	0	0	0
1709789048	12.99	3.94	16.14	4.50	22.80	4.50	1	0	0	0
1709789049	12.97	3.94	16.14	4.50	22.80	4.50	1	0	0	0
1709789050	12.98	3.94	16.14	4.50	22.80	4.50	0	0	0	0
1709789051	13.01	3.94	16.13	4.50	22.80	4.50	0	0	0	0
1709789052	13.02	3.94	16.11	4.51	22.80	4.50	0	0	0	0
1709789053	13.02	3.95	16.10	4.51	22.80	4.50	1	0	0	0
1709789054	13.01	3.95	16.08	4.51	22.80	4.50	1	0	0	0
1709789055	13.03	3.95	16.07	4.51	22.80	4.50	1	0	0	0
1709789056	12.99	3.95	16.05	4.51	22.80	4.50	1	0	0	0
1709789057	13.00	3.95	16.03	4.52	22.80	4.50	1	0	0	0
1709789058	13.01	3.95	16.01	4.52	22.80	4.50	1	0	0	0
1709789059	12.99	3.95	16.00	4.52	22.80	4.51	1	0	0	0
1709789060	12.99	3.95	15.98	4.52	22.80	4.51	1	0	0	0
1709789061	13.02	3.95	15.97	4.52	22.80	4.51	1	0	0	0
1709789062	13.00	3.95	15.96	4.52	22.80	4.51	1	0	0	0
1709789063	12.98	3.95	15.95	4.53	22.80	4.51	1	0	0	0
1709789064	13.01	3.96	15.94	4.53	22.80	4.51	0	0	0	0
1709789065	13.02	3.96	15.93	4.53	22.80	4.51	0	0	0	0
1709789066	12.99	3.96	15.92	4.53	22.80	4.51	0	0	0	0
1709789067	12.99	3.96	15.91	4.53	22.80	4.56	0	0	0	1
1709789068	13.00	3.96	15.90	4.53	22.80	4.97	0	0	0	1
1709789069	13.01	3.96	15.89	4.53	22.80	5.89	0	0	0	1
1709789070	13.02	3.96	15.88	4.54	22.80	6.52	0	0	0	1
1709789071	12.99	3.96	15.87	4.54	22.80	7.42	0	0	0	1
1709789072	13.03	3.96	15.86	4.54	22.80	7.98	0	0	0	1
1709789073	12.99	3.97	15.86	4.54	22.80	8.76	0	0	0	1
1709789074	12.99	3.97	15.85	4.54	22.80	9.24	0	0	0	0
1709789075	13.01	3.97	15.84	4.54	22.80	9.83	0	0	0	0
1709789076	12.98	3.97	15.83	4.54	22.80	10.10	0	0	0	0
1709789077	13.00	3.97	15.83	4.54	22.80	10.34	0	0	0	0
1709789078	13.01	3.97	15.82	4.54	22.80	10.41	0	0	0	0
1709789079	13.02	3.97	15.81	4.54	22.80	10.44	0	0	0	0
