TIMESTAMP	HEAD He3	HEAD He4	PUMP He3	SWITCH He3	PUMP He4	SWITCH He4	OUT1 [PHe3]	OUT2 [PHe4]	OUT3 [SHe3]	OUT4 [SHe4]
1709775503	12.64	4.43	4.94	5.10	22.63	5.41	0	0	0	0
1709775504	12.66	4.43	4.94	5.09	22.63	5.40	0	0	0	0
1709775505	12.68	4.43	4.94	5.09	22.62	5.40	0	0	0	0
1709775506	12.66	4.42	4.94	5.09	22.62	5.39	0	0	0	0
1709775507	12.63	4.42	4.94	5.08	22.61	5.39	0	0	0	0
1709775508	12.66	4.42	4.94	5.08	22.61	5.39	0	0	0	0
1709775509	12.64	4.41	4.94	5.08	22.61	5.38	0	0	0	0
1709775510	12.63	4.41	4.94	5.07	22.60	5.38	0	0	0	0
1709775511	12.67	4.41	4.94	5.07	22.60	5.37	0	0	0	0
1709775512	12.69	4.40	4.93	5.07	22.59	5.37	0	0	0	0
1709775513	12.64	4.40	4.93	5.06	22.59	5.37	0	0	0	0
1709775514	12.64	4.40	4.93	5.06	22.59	5.36	0	0	0	0
1709775515	12.66	4.40	4.93	5.06	22.59	5.36	0	0	0	0
1709775516	12.65	4.39	4.93	5.05	22.60	5.36	0	0	0	0
1709775517	12.67	4.39	4.94	5.05	22.64	5.35	0	0	0	0
1709775518	12.67	4.39	4.94	5.05	22.68	5.35	0	0	0	0
1709775519	12.65	4.40	4.94	5.05	22.77	5.34	0	0	0	0
1709775520	12.68	4.40	4.94	5.05	22.84	5.34	0	0	0	0
1709775521	12.68	4.41	4.94	5.05	22.96	5.34	0	0	0	0
1709775522	12.66	4.42	4.94	5.04	23.09	5.34	0	0	0	0
1709775523	12.68	4.42	4.94	5.05	23.32	5.33	0	0	0	0
1709775524	12.68	4.44	4.94	5.05	23.48	5.33	0	0	0	0
1709775525	12.66	4.45	4.95	5.05	23.71	5.33	0	0	0	0
1709775526	12.65	4.46	4.95	5.05	23.85	5.33	0	0	0	0
1709775527	12.68	4.47	4.95	5.05	24.08	5.33	0	0	0	0
1709775528	12.68	4.48	4.95	5.06	24.26	5.32	0	0	0	0
1709775529	12.68	4.50	4.95	5.06	24.49	5.32	0	0	0	0
1709775530	12.66	4.51	4.95	5.07	24.62	5.32	0	0	0	0
1709775531	12.66	4.52	4.96	5.07	24.76	5.33	0	0	0	0
1709775532	12.67	4.53	4.96	5.08	24.82	5.33	0	0	0	0
1709775533	12.65	4.54	4.96	5.08	24.87	5.33	0	0	0	0
1709775534	12.69	4.55	4.96	5.09	24.88	5.33	0	0	0	0
1709775535	12.68	4.56	4.96	5.09	24.86	5.33	0	0	0	0
1709775536	12.65	4.56	4.96	5.10	24.84	5.33	0	0	0	0
1709775537	12.67	4.57	4.96	5.10	24.78	5.33	0	0	0	0
1709775538	12.67	4.57	4.96	5.11	24.74	5.34	0	0	0	0
