TIMESTAMP	HEAD He3	HEAD He4	PUMP He3	SWITCH He3	PUMP He4	SWITCH He4	OUT1 [PHe3]	OUT2 [PHe4]	OUT3 [SHe3]	OUT4 [SHe4]
1709725167	16.49	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725168	16.50	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725169	16.49	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725170	16.53	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725171	16.52	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725172	16.52	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725173	16.52	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725174	16.55	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725175	16.53	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725176	16.50	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725177	16.52	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725178	16.52	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725179	16.50	300.00	300.00	300.00	300.00	300.00	0	0	0	0
1709725180	16.51	11.43	4.43	4.43	4.44	4.41	5	0	0	0
1709725181	16.52	11.43	4.43	4.43	4.44	4.41	5	0	0	0
1709725182	16.52	11.43	4.43	4.43	4.44	4.41	5	0	0	0
1709725183	16.49	11.43	4.43	4.43	4.44	4.41	5	0	0	0
1709725184	16.49	11.43	4.43	4.43	4.44	4.41	5	0	0	0
1709725185	16.47	11.43	4.43	4.43	4.44	4.41	5	0	0	0
1709725186	16.51	11.43	4.43	4.43	4.44	4.41	5	0	0	0
1709725187	16.53	11.44	4.43	4.43	4.44	4.41	5	0	0	0
1709725188	16.54	11.43	4.43	4.43	4.44	4.41	5	0	0	0
1709725189	16.51	11.43	4.43	4.43	4.44	4.41	5	0	0	0
1709725190	16.50	11.43	4.43	4.43	4.44	4.41	5	0	0	0
1709725191	16.51	11.43	4.43	4.43	4.44	4.41	5	0	0	0
1709725192	16.49	300.00	300.00	300.00	300.00	300.00	0	0	0	0
1709725193	16.56	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725194	16.54	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725195	16.52	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725196	16.50	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725197	16.55	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725198	16.55	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725199	16.51	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725200	16.53	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725201	16.55	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725202	16.50	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725203	16.50	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725204	16.53	300.00	300.00	300.00	300.00	300.00	0	0	0	0
1709725205	16.50	11.43	4.43	4.43	4.44	4.41	0	0	1	0
1709725206	16.50	11.43	4.43	4.43	4.44	4.41	0	0	1	0
1709725207	16.52	11.43	4.43	4.43	4.44	4.41	0	0	1	0
1709725208	16.51	300.00	300.00	300.00	300.00	300.00	0	0	0	0
1709725209	16.48	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725210	16.50	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725211	16.48	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725212	16.47	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725213	16.49	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725214	16.52	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725215	16.53	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725216	16.49	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725217	16.52	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725218	16.53	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725219	16.52	11.43	4.43	4.43	4.44	4.41	0	0	0	0
1709725220	16.51	11.42	4.43	4.43	4.44	4.41	0	0	0	0
1709725221	16.52	11.42	4.43	4.43	4.44	4.40	0	0	0	0
1709725222	16.51	11.42	4.43	4.43	4.44	4.40	0	0	0	0
1709725223	16.52	11.43	4.43	4.43	4.44	4.40	0	0	0	0
1709725224	16.53	11.43	4.43	4.43	4.44	4.40	0	0	0	0
1709725225	16.53	11.43	4.43	4.43	4.44	4.40	0	0	0	0
1709725226	16.52	11.43	4.43	4.43	4.44	4.40	0	0	0	0
1709725227	16.46	11.43	4.43	4.43	4.44	4.40	0	0	0	0
1709725228	16.50	11.43	4.43	4.43	4.44	4.40	0	0	0	0
1709725229	16.49	11.43	4.43	4.43	4.44	4.40	0	0	0	0
1709725230	16.47	11.43	4.43	4.43	4.44	4.40	0	0	0	0
1709725231	16.48	11.43	4.43	4.43	4.44	4.40	0	0	0	0
1709725232	16.54	11.43	4.43	4.43	4.44	4.40	0	0	0	0
1709725233	16.52	300.00	300.00	300.00	300.00	300.00	0	0	0	0
1709725234	16.50	11.43	4.43	4.43	4.44	4.40	0	0	1	0
1709725235	16.49	11.44	4.43	4.43	4.44	4.40	0	0	1	0
1709725236	16.51	11.43	4.43	4.43	4.44	4.41	0	0	1	0
1709725237	16.53	11.43	4.43	4.43	4.44	4.41	0	0	1	0
1709725238	16.56	11.43	4.43	4.43	4.44	4.40	0	0	1	0
1709725239	16.49	11.42	4.43	4.43	4.44	4.40	0	0	1	0
1709725240	16.52	11.43	4.43	4.43	4.44	4.40	0	0	1	0
1709725241	16.55	11.43	4.43	4.43	4.44	4.40	0	0	1	0
1709725242	16.52	11.43	4.43	4.43	4.44	4.40	0	0	1	0
1709725243	16.49	11.43	4.43	4.43	4.44	4.40	0	0	1	0
1709725244	16.51	11.43	4.43	4.43	4.44	4.40	0	0	1	0
1709725245	16.50	11.43	4.43	4.43	4.44	4.40	0	0	1	0
1709725246	16.47	11.43	4.43	4.43	4.44	4.40	0	0	1	0
1709725247	16.50	11.43	4.43	4.43	4.44	4.40	0	0	1	0
1709725248	16.54	11.43	4.43	4.43	4.44	4.40	0	0	1	0
1709725249	16.54	11.42	4.43	4.43	4.44	4.40	0	0	1	0
1709725250	16.49	11.43	4.43	4.43	4.44	4.40	0	0	1	0
1709725251	16.49	11.43	4.43	4.43	4.44	4.40	0	0	1	0
1709725252	16.46	11.43	4.43	4.43	4.44	4.40	0	0	1	0
1709725253	16.46	11.43	4.43	4.43	4.44	4.40	0	0	1	0
