TIMESTAMP	HEAD He3	HEAD He4	PUMP He3	SWITCH He3	PUMP He4	SWITCH He4
1709623297	300.00	300.00	300.00	300.00	300.00	300.00
1709623298	300.00	300.00	300.00	300.00	300.00	300.00
1709623299	300.00	300.00	300.00	300.00	300.00	300.00
1709623300	300.00	300.00	300.00	300.00	300.00	300.00
1709623301	300.00	300.00	300.00	300.00	300.00	300.00
1709623302	300.00	300.00	300.00	300.00	300.00	300.00
1709623303	300.00	300.00	300.00	300.00	300.00	300.00
1709623304	300.00	300.00	300.00	300.00	300.00	300.00
1709623305	300.00	300.00	300.00	300.00	300.00	300.00
1709623306	300.00	300.00	300.00	300.00	300.00	300.00
1709623307	300.00	300.00	300.00	300.00	300.00	300.00
1709623308	300.00	300.00	300.00	300.00	300.00	300.00
1709623309	300.00	300.00	300.00	300.00	300.00	300.00
1709623310	300.00	300.00	300.00	300.00	300.00	300.00
1709623311	300.00	300.00	300.00	300.00	300.00	300.00
1709623312	300.00	300.00	300.00	300.00	300.00	300.00
1709623313	300.00	300.00	300.00	300.00	300.00	300.00
1709623314	300.00	300.00	300.00	300.00	300.00	300.00
1709623315	300.00	300.00	300.00	300.00	300.00	300.00
1709623316	300.00	300.00	300.00	300.00	300.00	300.00
1709623317	300.00	300.00	300.00	300.00	300.00	300.00
1709623318	300.00	300.00	300.00	300.00	300.00	300.00
1709623319	300.00	300.00	300.00	300.00	300.00	300.00
1709623320	300.00	300.00	300.00	300.00	300.00	300.00
1709623321	300.00	300.00	300.00	300.00	300.00	300.00
1709623322	300.00	300.00	300.00	300.00	300.00	300.00
1709623323	300.00	300.00	300.00	300.00	300.00	300.00
1709623324	300.00	300.00	300.00	300.00	300.00	300.00
1709623325	300.00	300.00	300.00	300.00	300.00	300.00
1709623326	300.00	300.00	300.00	300.00	300.00	300.00
1709623327	300.00	300.00	300.00	300.00	300.00	300.00
1709623328	300.00	300.00	300.00	300.00	300.00	300.00
1709623329	300.00	300.00	300.00	300.00	300.00	300.00
1709623330	300.00	300.00	300.00	300.00	300.00	300.00
1709623331	300.00	300.00	300.00	300.00	300.00	300.00
1709623332	300.00	300.00	300.00	300.00	300.00	300.00
1709623333	300.00	300.00	300.00	300.00	300.00	300.00
1709623334	300.00	300.00	300.00	300.00	300.00	300.00
1709623335	300.00	300.00	300.00	300.00	300.00	300.00
1709623336	300.00	300.00	300.00	300.00	300.00	300.00
1709623337	300.00	300.00	300.00	300.00	300.00	300.00
