TIMESTAMP	HEAD He3	HEAD He4	PUMP He3	SWITCH He3	PUMP He4	SWITCH He4	OUT1 [PHe3]	OUT2 [PHe4]	OUT3 [SHe3]	OUT4 [SHe4]
1709775222	12.67	5.67	4.47	4.43	14.37	4.42	0	0	0	0
1709775223	12.66	5.67	4.47	4.43	14.37	4.42	0	0	0	0
1709775224	12.66	5.67	4.47	4.43	14.37	4.42	0	0	0	0
1709775225	12.68	5.67	4.47	4.43	14.37	4.42	0	0	0	0
1709775226	12.68	5.67	4.47	4.43	14.37	4.42	0	0	0	0
1709775227	12.66	5.67	4.47	4.43	14.37	4.42	0	0	0	0
1709775228	12.66	5.67	4.47	4.43	14.37	4.42	0	0	0	0
1709775229	12.65	5.67	4.47	4.43	14.37	4.42	0	0	0	0
1709775230	12.63	5.67	4.47	4.43	14.37	4.42	0	0	0	0
1709775231	12.65	5.67	4.47	4.43	14.37	4.42	0	0	0	0
1709775232	12.65	5.68	4.47	4.43	14.37	4.42	0	0	0	0
1709775233	12.65	5.67	4.47	4.43	14.37	4.42	0	0	0	0
1709775234	12.64	5.68	4.47	4.43	14.37	4.42	0	0	0	0
1709775235	12.65	5.68	4.47	4.43	14.37	4.42	0	0	0	0
1709775236	12.63	5.68	4.47	4.43	14.37	4.42	0	0	0	0
1709775237	12.63	5.68	4.47	4.43	14.37	4.42	0	0	0	0
1709775238	12.67	5.68	4.47	4.43	14.38	4.42	0	0	0	0
1709775239	12.66	5.68	4.47	4.43	14.42	4.42	0	0	0	0
1709775240	12.67	5.68	4.47	4.43	14.56	4.42	0	0	0	0
1709775241	12.64	5.68	4.47	4.43	14.72	4.42	0	0	0	0
1709775242	12.66	5.68	4.47	4.43	15.01	4.42	0	0	0	0
1709775243	12.65	5.69	4.47	4.43	15.26	4.42	0	0	0	0
1709775244	12.66	5.69	4.47	4.43	15.65	4.42	0	0	0	0
1709775245	12.66	5.70	4.47	4.43	15.90	4.42	0	0	0	0
1709775246	12.65	5.71	4.47	4.43	16.32	4.42	0	0	0	0
1709775247	12.67	5.71	4.48	4.44	16.59	4.42	0	0	0	0
1709775248	12.68	5.72	4.48	4.44	16.98	4.42	0	0	0	0
1709775249	12.66	5.73	4.48	4.44	17.25	4.42	0	0	0	0
1709775250	12.67	5.73	4.48	4.44	17.64	4.43	0	0	0	0
1709775251	12.66	5.74	4.48	4.45	17.89	4.43	0	0	0	0
1709775252	12.68	5.74	4.49	4.45	18.27	4.43	0	0	0	0
1709775253	12.66	5.75	4.49	4.46	18.52	4.43	0	0	0	0
1709775254	12.63	5.75	4.49	4.46	18.87	4.44	0	0	0	0
1709775255	12.66	5.75	4.49	4.47	19.11	4.44	0	0	0	0
1709775256	12.65	5.75	4.49	4.47	19.48	4.44	0	0	0	0
1709775257	12.64	5.75	4.50	4.48	19.71	4.45	0	0	0	0
1709775258	12.65	5.76	4.50	4.48	20.06	4.45	0	0	0	0
1709775259	12.66	5.76	4.50	4.49	20.31	4.45	0	0	0	0
1709775260	12.68	5.76	4.50	4.50	20.67	4.46	0	0	0	0
1709775261	12.66	5.76	4.50	4.50	20.89	4.46	0	0	0	0
1709775262	12.67	5.76	4.51	4.51	21.12	4.47	0	0	0	0
1709775263	12.63	5.76	4.51	4.52	21.23	4.47	0	0	0	0
1709775264	12.65	5.76	4.51	4.53	21.38	4.48	0	0	0	0
1709775265	12.67	5.76	4.51	4.54	21.47	4.49	0	0	0	0
1709775266	12.65	5.76	4.52	4.54	21.60	4.49	0	0	0	0
1709775267	12.66	5.76	4.52	4.55	21.68	4.50	0	0	0	0
1709775268	12.67	5.76	4.52	4.56	21.79	4.51	0	0	0	0
1709775269	12.66	5.76	4.52	4.57	21.86	4.51	0	0	0	0
1709775270	12.66	5.76	4.52	4.58	21.95	4.52	0	0	0	0
1709775271	12.65	5.76	4.53	4.59	22.01	4.53	0	0	0	0
1709775272	12.67	5.76	4.53	4.60	22.17	4.53	0	0	0	0
1709775273	12.69	5.76	4.53	4.61	22.27	4.54	0	0	0	0
1709775274	12.68	5.76	4.53	4.62	22.41	4.55	0	0	0	0
1709775275	12.67	5.76	4.54	4.63	22.49	4.56	0	0	0	0
1709775276	12.66	5.76	4.54	4.64	22.61	4.57	0	0	0	0
1709775277	12.66	5.76	4.54	4.65	22.68	4.57	0	0	0	0
1709775278	12.68	5.76	4.54	4.66	22.78	4.58	0	0	0	0
1709775279	12.66	5.76	4.55	4.67	22.85	4.59	0	0	0	0
1709775280	12.67	5.76	4.55	4.68	22.94	4.60	0	0	0	0
1709775281	12.68	5.76	4.55	4.69	23.00	4.61	0	0	0	0
1709775282	12.67	5.76	4.55	4.70	23.14	4.62	0	0	0	0
1709775283	12.65	5.76	4.56	4.72	23.23	4.63	0	0	0	0
1709775284	12.66	5.76	4.56	4.73	23.36	4.64	0	0	0	0
1709775285	12.66	5.77	4.56	4.74	23.45	4.65	0	0	0	0
1709775286	12.67	5.77	4.57	4.75	23.57	4.66	0	0	0	0
1709775287	12.66	5.77	4.57	4.76	23.65	4.67	0	0	0	0
1709775288	12.66	5.77	4.57	4.77	23.76	4.68	0	0	0	0
1709775289	12.67	5.77	4.58	4.79	23.83	4.69	0	0	0	0
1709775290	12.64	5.77	4.58	4.80	23.93	4.70	0	0	0	0
1709775291	12.66	5.78	4.58	4.81	24.00	4.71	0	0	0	0
1709775292	12.68	5.78	4.59	4.82	24.14	4.73	0	0	0	0
1709775293	12.67	5.78	4.59	4.83	24.23	4.73	0	0	0	0
1709775294	12.68	5.78	4.59	4.84	24.35	4.75	0	0	0	0
1709775295	12.68	5.78	4.60	4.86	24.44	4.76	0	0	0	0
1709775296	12.70	5.79	4.60	4.87	24.56	4.77	0	0	0	0
1709775297	12.67	5.79	4.60	4.88	24.64	4.78	0	0	0	0
1709775298	12.64	5.79	4.61	4.89	24.75	4.80	0	0	0	0
1709775299	12.65	5.80	4.61	4.91	24.83	4.81	0	0	0	0
1709775300	12.66	5.80	4.61	4.92	24.94	4.82	0	0	0	0
1709775301	12.65	5.80	4.62	4.93	25.01	4.83	0	0	0	0
1709775302	12.67	5.81	4.62	4.94	25.14	4.84	0	0	0	0
1709775303	12.67	5.81	4.63	4.96	25.23	4.86	0	0	0	0
1709775304	12.66	5.82	4.63	4.97	25.35	4.87	0	0	0	0
1709775305	12.66	5.82	4.63	4.99	25.43	4.88	0	0	0	0
