TIMESTAMP	HEAD He3	HEAD He4	PUMP He3	SWITCH He3	PUMP He4	SWITCH He4	OUT1 [PHe3]	OUT2 [PHe4]	OUT3 [SHe3]	OUT4 [SHe4]
1709776481	12.63	4.40	5.38	5.07	25.76	8.73	0	0	0	0
1709776482	12.65	4.40	5.38	5.07	25.76	8.66	0	0	0	0
1709776483	12.64	4.39	5.38	5.07	25.75	8.62	0	0	0	0
1709776484	12.64	4.39	5.38	5.07	25.75	8.55	0	0	0	0
1709776485	12.64	4.39	5.38	5.06	25.74	8.52	0	0	0	0
1709776486	12.65	4.39	5.38	5.06	25.74	8.46	0	0	0	0
1709776487	12.64	4.39	5.37	5.06	25.73	8.42	0	0	0	0
1709776488	12.65	4.38	5.37	5.05	25.73	8.37	0	0	0	0
1709776489	12.62	4.38	5.37	5.05	25.73	8.34	0	0	0	0
1709776490	12.63	4.38	5.37	5.05	25.72	8.29	0	0	0	0
1709776491	12.61	4.38	5.37	5.05	25.72	8.26	0	0	0	0
1709776492	12.65	4.38	5.37	5.04	25.71	8.21	0	0	0	0
1709776493	12.62	300.00	300.00	300.00	300.00	300.00	0	0	0	0
1709776494	12.61	4.37	5.37	5.04	25.70	8.30	0	0	0	1
1709776495	12.63	4.37	5.37	5.04	25.70	8.55	0	0	0	1
1709776496	12.63	4.37	5.37	5.04	25.70	9.05	0	0	0	1
1709776497	12.63	300.00	300.00	300.00	300.00	300.00	0	0	0	0
1709776498	12.63	4.36	5.37	5.03	25.69	9.90	0	0	0	0
1709776499	12.62	4.36	5.37	5.03	25.69	10.12	0	0	0	0
1709776500	12.63	4.36	5.37	5.03	25.68	10.32	0	0	0	0
1709776501	12.62	4.36	5.36	5.02	25.68	10.38	0	0	0	0
1709776502	12.65	4.36	5.36	5.02	25.67	10.40	0	0	0	0
1709776503	12.63	4.35	5.36	5.02	25.67	10.39	0	0	0	0
1709776504	12.62	4.35	5.36	5.02	25.67	10.34	0	0	0	0
1709776505	12.63	4.35	5.36	5.01	25.66	10.29	0	0	0	0
1709776506	12.65	4.35	5.36	5.01	25.66	10.20	0	0	0	0
1709776507	12.63	4.35	5.36	5.01	25.66	10.14	0	0	0	0
1709776508	12.64	4.35	5.36	5.01	25.65	10.04	0	0	0	0
1709776509	12.64	4.34	5.36	5.00	25.65	9.98	0	0	0	0
1709776510	12.61	4.34	5.36	5.00	25.64	9.88	0	0	0	0
1709776511	12.62	4.34	5.36	5.00	25.64	9.82	0	0	0	0
1709776512	12.61	4.34	5.36	5.00	25.64	9.73	0	0	0	0
1709776513	12.63	4.33	5.36	5.00	25.63	9.67	0	0	0	0
1709776514	12.63	4.33	5.36	4.99	25.63	9.59	0	0	0	0
1709776515	12.62	4.33	5.35	4.99	25.62	9.53	0	0	0	0
1709776516	12.65	4.33	5.35	4.99	25.62	9.45	0	0	0	0
1709776517	12.62	4.33	5.35	4.99	25.62	9.40	0	0	0	0
1709776518	12.62	4.33	5.35	4.99	25.61	9.32	0	0	0	0
1709776519	12.64	4.32	5.35	4.98	25.61	9.27	0	0	0	0
1709776520	12.64	4.32	5.35	4.98	25.61	9.20	0	0	0	0
1709776521	12.62	4.32	5.35	4.98	25.60	9.16	0	0	0	0
1709776522	12.63	4.32	5.35	4.98	25.60	9.09	0	0	0	0
1709776523	12.62	4.32	5.35	4.97	25.60	9.04	0	0	0	0
1709776524	12.63	4.31	5.35	4.97	25.59	8.98	0	0	0	0
1709776525	12.63	4.31	5.35	4.97	25.59	8.94	0	0	0	0
1709776526	12.63	4.31	5.35	4.97	25.58	8.88	0	0	0	0
1709776527	12.61	4.31	5.35	4.97	25.58	8.84	0	0	0	0
1709776528	12.61	4.31	5.35	4.96	25.58	8.78	0	0	0	0
