TIMESTAMP	HEAD He3	HEAD He4	PUMP He3	SWITCH He3	PUMP He4	SWITCH He4	OUT1 [PHe3]	OUT2 [PHe4]	OUT3 [SHe3]	OUT4 [SHe4]
1709777071	12.59	3.98	5.06	4.59	24.76	5.54	0	0	0	0
1709777072	12.61	3.98	5.06	4.59	24.76	5.53	0	0	0	0
1709777073	12.58	3.98	5.06	4.59	24.76	5.52	0	0	0	0
1709777074	12.60	3.98	5.06	4.59	24.75	5.50	0	0	0	0
1709777075	12.57	3.98	5.06	4.59	24.75	5.50	0	0	0	0
1709777076	12.57	3.98	5.06	4.59	24.75	5.48	0	0	0	0
1709777077	12.58	3.98	5.06	4.59	24.75	5.47	0	0	0	0
1709777078	12.57	3.98	5.06	4.59	24.75	5.46	0	0	0	0
1709777079	12.61	3.98	5.06	4.59	24.75	5.45	0	0	0	0
1709777080	12.58	3.98	5.06	4.59	24.75	5.44	0	0	0	0
1709777081	12.56	3.98	5.06	4.59	24.75	5.44	0	0	0	0
1709777082	12.59	3.98	5.05	4.59	24.75	5.42	0	0	0	0
1709777083	12.59	3.98	5.05	4.59	24.75	5.42	0	0	0	1
1709777084	12.58	3.98	5.05	4.59	24.75	5.41	0	0	0	1
1709777085	12.60	3.98	5.05	4.59	24.75	5.40	0	0	0	1
1709777086	12.58	3.98	5.05	4.59	24.75	5.39	0	0	0	1
1709777087	12.59	3.98	5.05	4.59	24.75	5.38	0	0	0	1
1709777088	12.57	3.98	5.05	4.59	24.75	5.37	0	0	0	1
1709777089	12.57	3.98	5.05	4.59	24.74	5.36	0	0	0	0
1709777090	12.59	3.98	5.05	4.59	24.74	5.35	0	0	0	0
1709777091	12.58	3.98	5.05	4.59	24.74	5.35	0	0	0	0
1709777092	12.58	3.98	5.05	4.59	24.74	5.34	0	0	0	0
1709777093	12.59	3.98	5.05	4.58	24.74	5.33	0	0	0	0
1709777094	12.59	3.98	5.05	4.58	24.74	5.32	0	0	0	0
1709777095	12.58	3.98	5.05	4.58	24.74	5.31	0	0	0	0
1709777096	12.57	3.98	5.05	4.58	24.74	5.30	0	0	0	0
