TIMESTAMP	HEAD He3	HEAD He4	PUMP He3	SWITCH He3	PUMP He4	SWITCH He4	Cernox	OUT1 [PHe3]	OUT2 [PHe4]	OUT3 [SHe3]	OUT4 [SHe4]
1717440397	288.912	226.585	225.257	274.932	239.052	226.960	280.779	0	0	0	0
1717440398	293.008	226.578	225.250	276.230	239.045	226.952	280.919	0	0	0	0
1717440399	296.937	226.570	225.243	275.833	239.038	226.945	280.807	0	0	0	0
1717440400	289.267	226.563	225.236	273.129	239.031	226.938	280.818	0	0	0	0
1717440401	287.891	226.556	225.229	273.367	239.025	226.931	280.838	0	0	0	0
1717440402	295.339	226.549	225.223	276.210	239.019	226.925	280.817	0	0	0	0
1717440403	294.961	226.543	225.216	274.116	239.013	226.919	280.819	0	0	0	0
1717440404	287.592	226.536	225.210	273.741	239.007	226.912	280.850	0	0	0	0
1717440405	290.855	226.530	225.204	274.422	239.001	226.906	280.789	0	0	0	0
1717440406	293.518	226.524	225.198	274.014	238.996	226.899	280.820	0	0	0	0
1717440407	292.675	226.517	225.192	275.337	238.991	226.893	280.753	0	0	0	0
1717440408	292.630	226.511	225.185	280.040	238.985	226.887	280.755	0	0	0	0
1717440409	297.159	226.505	225.179	273.605	238.979	226.881	280.853	0	0	0	0
1717440410	294.939	226.499	225.172	275.873	238.974	226.875	280.833	0	0	0	0
1717440411	288.035	226.492	225.166	273.163	238.968	226.869	280.729	0	0	0	0
1717440412	291.898	226.486	225.160	276.210	238.962	226.862	280.749	0	0	0	0
1717440413	291.565	226.480	225.154	274.490	238.957	226.856	280.818	0	0	0	0
1717440414	284.717	226.473	225.148	273.231	238.951	226.850	280.721	0	0	0	0
1717440415	289.057	226.467	225.142	276.806	238.945	226.844	280.861	0	0	0	0
1717440416	291.210	226.461	225.135	276.468	238.940	226.838	280.840	0	0	0	0
1717440417	291.188	226.455	225.129	276.071	238.934	226.831	280.833	0	0	0	0
1717440418	294.206	226.448	225.123	274.796	238.928	226.825	280.764	0	0	0	0
1717440419	292.897	226.442	225.117	271.485	238.923	226.819	280.676	0	0	0	0
1717440420	290.166	226.436	225.111	272.355	238.917	226.813	280.677	0	0	0	0
1717440421	291.609	226.429	225.104	274.898	238.912	226.807	280.818	0	0	0	0
1717440422	288.002	226.423	225.098	278.135	238.906	226.801	280.804	0	0	0	0
1717440423	293.163	226.417	225.092	275.238	238.900	226.794	280.931	0	0	0	0
1717440424	294.073	226.411	225.086	272.585	238.895	226.788	280.697	0	0	0	0
1717440425	296.604	226.405	225.080	273.061	238.889	226.782	280.786	0	0	0	0
1717440426	295.694	226.399	225.073	274.864	238.884	226.776	280.718	0	0	0	0
1717440427	289.612	226.392	225.067	274.252	238.878	226.770	280.655	0	0	0	0
1717440428	288.735	226.386	225.061	276.052	238.872	226.764	280.666	0	0	0	0
1717440429	289.145	226.380	225.055	274.524	238.867	226.758	280.736	0	0	0	0
1717440430	287.902	226.373	225.049	272.270	238.861	226.752	280.724	0	0	0	0
1717440431	294.983	226.367	225.043	273.707	238.855	226.746	280.747	0	0	0	0
1717440432	291.365	226.361	225.037	274.524	238.850	226.740	280.722	0	0	0	0
1717440433	294.584	226.355	225.031	275.139	238.844	226.734	280.777	0	0	0	0
1717440434	288.701	226.348	225.025	272.789	238.839	226.727	280.776	0	0	0	0
1717440435	291.276	226.342	225.019	272.789	238.833	226.721	280.751	0	0	0	0
1717440436	294.295	226.336	225.013	273.333	238.828	226.716	280.771	0	0	0	0
1717440437	285.128	226.330	225.007	273.946	238.822	226.709	280.700	0	0	0	0
1717440438	292.986	226.324	225.001	272.253	238.817	226.703	280.597	0	0	0	0
1717440439	290.699	226.318	224.994	273.095	238.811	226.697	280.834	0	0	0	0
1717440440	290.899	226.312	224.988	273.810	238.806	226.691	280.782	0	0	0	0
1717440441	286.371	226.305	224.982	274.660	238.800	226.684	280.636	0	0	0	0
1717440442	291.010	226.299	224.976	276.012	238.794	226.678	280.728	0	0	0	0
1717440443	295.583	226.293	224.970	272.925	238.789	226.672	280.748	0	0	0	0
1717440444	295.760	226.287	224.963	273.129	238.783	226.666	280.700	0	0	0	0
1717440445	293.452	226.281	224.957	272.619	238.778	226.660	280.669	0	0	0	0
1717440446	293.851	226.274	224.951	271.945	238.772	226.654	280.601	0	0	0	0
1717440447	291.210	226.268	224.944	274.014	238.766	226.647	280.808	0	0	0	0
1717440448	295.050	226.262	224.938	276.706	238.760	226.641	280.722	0	0	0	0
1717440449	297.203	226.256	224.932	278.135	238.755	226.635	280.721	0	0	0	0
1717440450	296.804	226.249	224.926	276.032	238.749	226.629	280.703	0	0	0	0
1717440451	290.300	226.243	224.920	275.734	238.744	226.623	280.791	0	0	0	0
