TIMESTAMP	HEAD He3	PUMP He3	SWITCH He3	HEAD He4	PUMP He4	SWITCH He4	Cernox	OUT1 [PHe3]	OUT2 [PHe4]	OUT3 [SHe3]	OUT4 [SHe4]
1729604436	291.498	290.228	290.431	300.000	290.499	300.000	295.786	0	0	0	0
1729604437	294.695	290.227	290.431	300.000	290.499	300.000	295.782	0	0	0	0
1729604438	290.566	290.228	290.431	300.000	290.498	300.000	295.704	0	0	0	0
1729604439	295.272	290.228	290.431	300.000	290.498	290.226	295.656	0	0	0	0
1729604440	294.406	290.228	290.431	300.000	290.498	290.226	295.770	0	0	0	0
1729604441	292.786	290.228	290.431	300.000	290.498	290.226	295.788	0	0	0	0
1729604442	292.675	290.228	290.431	300.000	290.498	290.226	295.797	0	0	0	0
1729604443	298.579	290.228	290.431	300.000	290.498	290.227	295.637	0	0	0	0
1729604444	292.852	290.228	290.431	300.000	290.498	290.226	295.850	0	0	0	0
1729604445	295.228	290.228	290.431	300.000	290.498	290.226	295.793	0	0	0	0
1729604446	296.471	290.228	290.431	300.000	290.498	290.227	295.794	0	0	0	0
1729604447	294.273	290.229	290.431	300.000	290.498	290.227	295.769	0	0	0	0
1729604448	286.948	290.228	290.431	300.000	290.498	290.227	295.739	0	0	0	0
1729604449	292.320	290.228	290.431	300.000	290.498	290.227	295.749	0	0	0	0
1729604450	285.805	290.228	290.431	300.000	290.498	290.227	295.787	0	0	0	0
1729604451	293.829	290.228	290.432	300.000	290.498	290.228	295.778	0	0	0	0
1729604452	291.809	290.228	290.431	300.000	290.498	290.228	295.810	0	0	0	0
1729604453	291.188	290.228	290.432	300.000	290.498	290.228	295.711	0	0	0	0
1729604454	292.786	290.228	290.432	300.000	290.498	290.228	295.784	0	0	0	0
1729604455	294.695	290.228	290.432	300.000	290.498	290.228	295.840	0	0	0	0
1729604456	291.476	290.228	290.432	300.000	290.498	290.228	295.839	0	0	0	0
1729604457	293.762	290.228	290.432	300.000	290.498	290.228	295.765	0	1	0	0
1729604458	291.787	290.228	290.432	300.000	290.498	290.228	295.769	0	1	0	0
1729604459	293.341	290.228	290.432	300.000	290.499	290.228	295.880	0	0	0	0
1729604460	295.228	290.228	290.432	300.000	290.498	290.228	295.837	0	0	0	0
1729604461	292.653	290.228	290.432	300.000	290.499	290.228	295.756	0	0	0	0
1729604462	292.186	290.228	290.432	300.000	290.498	290.228	295.848	0	0	0	0
1729604463	293.052	290.228	290.432	300.000	290.499	290.228	295.762	0	0	0	0
1729604464	294.739	290.228	290.432	300.000	290.499	290.228	295.760	0	0	0	0
1729604465	291.498	290.228	290.432	300.000	290.499	290.228	295.715	0	0	0	0
1729604466	292.453	290.228	290.432	300.000	290.499	290.228	295.697	0	0	0	0
1729604467	292.186	290.228	290.432	300.000	290.499	290.228	295.748	0	0	0	0
1729604468	296.404	290.228	290.432	300.000	290.499	290.228	295.662	0	0	0	0
1729604469	293.185	290.228	290.432	300.000	290.500	290.228	295.722	0	0	0	0
1729604470	288.679	290.228	290.432	300.000	290.500	290.228	295.862	0	0	0	0
1729604471	291.010	290.227	290.432	300.000	290.500	290.228	295.834	0	0	0	0
1729604472	293.008	290.227	290.432	300.000	290.501	290.228	295.706	0	0	0	0
1729604473	296.382	290.227	290.432	300.000	290.501	290.228	295.680	0	0	0	0
1729604474	288.635	290.227	290.432	300.000	290.502	290.228	295.887	0	0	0	0
1729604475	287.669	290.227	290.432	300.000	290.503	290.228	295.629	0	0	0	0
1729604476	295.094	290.227	290.432	300.000	290.503	290.228	295.704	0	0	0	0
1729604477	292.453	290.227	290.432	300.000	290.504	290.228	295.535	0	0	0	0
1729604478	288.923	290.227	290.432	300.000	290.505	290.228	295.532	0	0	0	0
1729604479	289.956	290.227	290.432	300.000	290.505	290.228	295.285	0	0	0	0
