TIMESTAMP	HEAD He3	SENS HEAD He3	HEAD He4	SENS HEAD He4	PUMP He3	SENS PUMP He3	SWITCH He3	SENS SWITCH He3	PUMP He4	SENS PUMP He4	SWITCH He4	SENS SWITCH He4	Cernox	SENS Cernox	OUT1 [PHe3]	OUT2 [PHe4]	OUT3 [SHe3]	OUT4 [SHe4]
1731678568	119.903	1016.50000	138.932	0.90077	139.465	0.89962	139.128	1027.89000	137.261	0.90438	139.106	0.90039	120.991	51.95900	0	0	0	0
1731678569	120.226	1016.50000	138.935	0.90076	139.467	0.89961	138.670	1027.91000	137.264	0.90438	139.107	0.90039	121.019	51.96700	0	0	0	0
1731678570	119.717	1016.70000	138.937	0.90076	139.469	0.89961	139.835	1027.84000	137.266	0.90437	139.109	0.90039	121.006	51.96300	0	0	0	0
1731678571	118.771	1016.70000	138.939	0.90076	139.471	0.89960	139.294	1027.85000	137.268	0.90437	139.111	0.90038	121.032	51.95200	0	0	0	0
1731678572	119.218	1016.70000	138.941	0.90075	139.473	0.89960	139.450	1027.87000	137.270	0.90437	139.113	0.90038	121.044	51.95600	0	0	0	0
1731678573	119.009	1016.60000	138.943	0.90075	139.475	0.89960	139.624	1027.84000	137.272	0.90436	139.115	0.90037	121.023	51.96000	0	0	0	0
1731678574	118.138	1016.70000	138.945	0.90074	139.477	0.89959	139.697	1027.77000	137.274	0.90436	139.117	0.90037	121.016	51.96000	0	0	0	0
1731678575	118.987	1016.50000	138.947	0.90074	139.479	0.89959	139.165	1027.86000	137.276	0.90435	139.119	0.90036	121.016	51.95400	0	0	0	0
1731678576	120.478	1016.40000	138.949	0.90073	139.481	0.89958	139.018	1027.87000	137.278	0.90435	139.121	0.90036	121.035	51.96000	0	0	0	0
1731678577	118.585	1016.70000	138.951	0.90073	139.483	0.89958	139.330	1027.90000	137.280	0.90434	139.122	0.90036	121.020	51.95500	0	0	0	0
1731678578	119.285	1016.60000	138.953	0.90073	139.484	0.89958	138.752	1027.88000	137.281	0.90434	139.124	0.90035	121.036	51.95700	0	0	0	0
1731678579	119.091	1016.60000	138.955	0.90072	139.486	0.89957	139.688	1027.82000	137.283	0.90434	139.126	0.90035	121.033	51.95600	0	0	0	0
1731678580	118.935	1016.60000	138.957	0.90072	139.488	0.89957	139.752	1027.86000	137.285	0.90433	139.128	0.90035	121.030	51.95700	0	0	0	0
1731678581	120.145	1016.40000	138.959	0.90071	139.490	0.89956	139.358	1027.87000	137.287	0.90433	139.130	0.90034	121.040	51.95400	0	0	0	0
1731678582	119.114	1016.70000	138.960	0.90071	139.492	0.89956	138.872	1027.87000	137.288	0.90433	139.132	0.90034	121.063	51.94700	0	0	0	0
1731678583	119.181	1016.70000	138.962	0.90071	139.493	0.89956	139.642	1027.86000	137.290	0.90432	139.134	0.90033	121.025	51.95700	0	0	0	0
1731678584	120.122	1016.50000	138.964	0.90070	139.495	0.89955	139.294	1027.83000	137.292	0.90432	139.135	0.90033	121.052	51.95000	0	0	0	0
1731678585	119.158	1016.70000	138.966	0.90070	139.497	0.89955	138.440	1027.93000	137.294	0.90431	139.137	0.90032	121.053	51.95300	0	0	0	0
1731678586	117.616	1016.90000	138.967	0.90069	139.499	0.89954	139.083	1027.87000	137.296	0.90431	139.139	0.90032	121.032	51.95900	0	0	0	0
1731678587	118.644	1016.80000	138.969	0.90069	139.501	0.89954	139.440	1027.86000	137.298	0.90430	139.141	0.90032	121.033	51.95400	0	0	0	0
1731678588	117.497	1016.80000	138.972	0.90069	139.503	0.89954	138.670	1027.92000	137.300	0.90430	139.143	0.90031	121.067	51.94800	0	0	0	0
1731678589	119.151	1016.60000	138.973	0.90068	139.505	0.89953	139.532	1027.83000	137.302	0.90430	139.145	0.90031	121.068	51.94900	0	0	0	0
1731678590	120.712	1016.40000	138.975	0.90068	139.506	0.89953	139.514	1027.85000	137.303	0.90429	139.147	0.90030	121.042	51.95600	0	0	0	0
1731678591	119.911	1016.40000	138.977	0.90067	139.508	0.89952	139.339	1027.87000	137.305	0.90429	139.149	0.90030	121.059	51.94500	0	0	0	0
1731678592	119.970	1016.50000	138.979	0.90067	139.511	0.89952	139.330	1027.90000	137.307	0.90428	139.151	0.90030	121.078	51.94900	0	0	0	0
1731678593	120.960	1016.40000	138.981	0.90066	139.512	0.89952	139.523	1027.85000	137.309	0.90428	139.152	0.90029	121.064	51.94900	0	0	0	0
1731678594	120.204	1016.50000	138.983	0.90066	139.514	0.89951	138.936	1027.89000	137.311	0.90428	139.154	0.90029	121.059	51.94900	0	0	0	0
1731678595	120.152	1016.50000	138.985	0.90066	139.516	0.89951	139.532	1027.84000	137.313	0.90427	139.156	0.90028	121.043	51.95600	0	0	0	0
1731678596	118.957	1016.50000	138.986	0.90065	139.518	0.89950	139.257	1027.87000	137.315	0.90427	139.158	0.90028	121.051	51.94600	0	0	0	0
1731678597	119.076	1016.50000	138.988	0.90065	139.519	0.89950	139.257	1027.86000	137.316	0.90427	139.160	0.90028	121.076	51.95000	0	0	0	0
1731678598	118.399	1016.70000	138.990	0.90065	139.521	0.89950	140.026	1027.82000	137.318	0.90426	139.162	0.90027	121.050	51.95500	0	0	0	0
